 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
FULB   140.825  223.531     .492E-03   90.07  148.71   58.64   1.81   3.37   1.088  2.268   .342E-04   .389E-02   3.44   3.16  Meq23para_result.txt
NACB    65.981  274.924     .319E-03   79.84  148.31   68.47   1.27   1.09    .907  2.860   .249E-04   .316E-02   2.75   3.03  Meq23para_result.txt
CHGB   108.761  266.494     .838E-03   87.17  143.64   56.47   1.37   2.72   1.172  2.883   .187E-03   .576E-03   3.53   3.01  Meq23para_result.txt
HGSD   108.785  230.151     .560E-02   90.13  144.97   54.84   1.33   1.82   1.422  3.146   .525E-03   .402E-01   4.25   2.99  Meq23para_result.txt
YULB   125.799  230.120     .109E-03   90.36  162.84   72.48   1.47   1.60    .895   .886   .105E-04   .124E-02   2.95   3.29  Meq23para_result.txt
MASB   234.617  224.814     .981E-04  128.21  148.99   20.78   1.62   3.04   1.392  1.885   .126E-04   .285E-03   3.60   2.59  Meq23para_result.txt
NNSB    93.478  291.312     .171E-03   83.60  143.02   59.43    .94    .15    .988   .502   .147E-04   .214E-02   2.97   3.01  Meq23para_result.txt
ALSB   267.288  225.946     .112E-02   41.24  142.63  101.39   1.25   2.07   1.199  2.320   .307E-03   .497E-02   4.89   4.08  Meq24para_result.txt
SGSB   317.321  222.780     .645E-03   69.93   84.50   14.57    .79    .31   1.912  1.325   .180E-03   .170E-02   4.91   2.57  Meq24para_result.txt
ESLB   199.260  219.845     .331E-03   72.20  118.27   46.06   2.25   6.47   1.257   .439   .656E-04  -.253E-03   3.96   3.15  Meq24para_result.txt
WGKB   272.895  232.536     .723E-03   79.64  146.74   67.10   1.33   1.98   1.358  1.330   .264E-03  -.218E-02   5.08   3.74  Meq24para_result.txt
TAIH   345.824  226.742     .194E-03   85.02  122.95   37.93    .96    .78   1.519  1.877   .440E-04   .132E-02   5.31   3.50  Meq24para_result.txt
TWMB   349.661  221.646     .502E-03   79.00  109.20   30.20    .86   -.29   1.549  1.330   .111E-03   .302E-02   5.13   3.31  Meq24para_result.txt
DPDB   220.653  234.580     .228E-03   93.22  137.83   44.61   1.66   2.19   1.346   .672   .346E-04   .870E-03   4.31   3.20  Meq24para_result.txt
ENLB   181.138  217.889     .141E-02  115.24  121.80    6.56    .76    .52   3.207  2.058   .127E-03   .328E-02   4.48   1.40  Meq24para_result.txt
WLGB   308.724  232.385     .118E-02   85.33  146.20   60.87   1.91   5.87   1.434  2.089   .409E-03  -.625E-02   5.42   3.78  Meq24para_result.txt
FULB   263.182  213.006     .263E-03   79.69  134.15   54.45   1.01   1.40   1.226  2.528   .684E-04   .765E-03   4.32   3.52  Meq24para_result.txt
NACB   158.959  224.668     .358E-03   68.45  108.61   40.16   2.20   4.60   1.306  2.389   .388E-04   .898E-03   3.78   2.89  Meq24para_result.txt
TPUB   296.829  225.354     .671E-03   64.60   80.25   15.65    .62   -.29   1.985  1.270   .364E-03  -.120E-02   5.08   2.56  Meq24para_result.txt
SSLB   235.629  228.822     .259E-03  104.68  113.93    9.25    .66   -.54   2.144   .973   .104E-03   .120E-04   4.05   1.89  Meq24para_result.txt
CHGB   198.957  230.997     .133E-02   74.71  117.01   42.31   2.52   7.29   1.577  3.766   .155E-03   .196E-02   4.86   3.08  Meq24para_result.txt
HGSD   228.741  214.567     .524E-02   76.01  137.62   61.61   2.27   5.47   1.482  3.748   .502E-03   .275E-01   5.20   3.51  Meq24para_result.txt
YULB   245.175  215.633     .114E-03   72.46  126.67   54.22   1.52   2.68   1.114  1.902   .267E-04   .202E-03   3.85   3.46  Meq24para_result.txt
NNSB   157.663  237.521     .183E-03   68.21  123.15   54.94   2.30   5.42   1.207   .039   .127E-04   .109E-02   3.82   3.16  Meq24para_result.txt
TAIH   212.058  215.101     .212E-03   80.44  118.14   37.70   1.10   1.78   1.403  1.754   .747E-04   .289E-03   4.24   3.02  Meq25para_result.txt
TWMB   222.486  207.354     .574E-03   75.89  122.55   46.67   1.53   3.04   1.319  2.127   .725E-04   .380E-02   4.28   3.25  Meq25para_result.txt
FULB   156.807  184.979     .849E-04   87.63  149.65   62.02   1.18   1.04   1.032  1.917   .268E-04   .263E-03   3.37   3.26  Meq25para_result.txt
TPUB   166.107  209.394     .354E-03   73.49  110.13   36.64    .95    .85   1.312   .998   .852E-04   .166E-02   3.72   2.84  Meq25para_result.txt
MASB   235.531  200.276     .307E-04   79.71  111.94   32.24   1.15   2.07   1.182  1.685   .444E-05   .233E-03   3.51   2.97  Meq25para_result.txt
NNSB    20.586  192.571     .708E-04  120.62  129.84    9.22   3.32  14.12   1.548  -.630   .120E-04   .355E-04   1.75   1.13  Meq25para_result.txt
ALSB   125.192  230.672     .103E-02   87.63  103.56   15.93    .28   -.82   1.842  2.436   .451E-03   .805E-03   3.63   1.97  Meq26para_result.txt
ESLB    56.432  215.338     .963E-04   37.09   57.41   20.32    .98    .80   1.172  -.266   .182E-04   .286E-03   2.28   1.94  Meq26para_result.txt
NACB    18.015  250.580     .663E-03   27.65   43.33   15.68   2.54   6.54   1.323  1.347   .210E-04   .133E-02   2.09   1.58  Meq26para_result.txt
CHGB    62.551  252.845     .247E-03   43.04   53.10   10.05    .37    .26   2.046  2.520   .103E-03   .211E-03   2.77   1.35  Meq26para_result.txt
NNSB    44.409  300.064     .739E-04   32.74   49.79   17.05   1.31   2.13   1.286  -.909   .282E-04  -.616E-04   2.25   1.75  Meq26para_result.txt
ESLB   200.581  212.478     .199E-03   80.33  127.51   47.17   2.63   8.84   1.240   .549   .173E-04   .819E-03   3.94   3.18  Meq27para_result.txt
DPDB   215.296  227.959     .108E-03   80.33  187.51  107.17   1.52   2.30   1.069   .024   .241E-04   .327E-03   4.22   3.94  Meq27para_result.txt
NACB   158.557  215.398     .278E-03   78.78  116.17   37.39   2.58   7.05   1.383  2.471   .383E-04   .142E-03   3.91   2.83  Meq27para_result.txt
SSLB   232.720  222.555     .130E-03   84.73  149.29   64.56    .37   -.18   1.113   .821   .460E-04   .652E-03   3.97   3.56  Meq27para_result.txt
CHGB   195.338  223.593     .623E-03   82.83  124.75   41.92   2.64   8.06   1.445  3.358   .123E-03  -.276E-03   4.42   3.06  Meq27para_result.txt
HGSD   232.172  208.216     .149E-02   85.49  142.35   56.86   1.16   1.40   1.432  2.700   .569E-03  -.586E-02   4.94   3.45  Meq27para_result.txt
YULB   248.048  209.677     .369E-04   87.46  141.37   53.90   1.48   2.08   1.120  1.806   .913E-05   .878E-04   3.88   3.46  Meq27para_result.txt
NNSB   151.590  228.274     .296E-03   78.50  125.40   46.90   3.85  19.95   1.284   .575   .211E-04   .280E-03   3.86   3.00  Meq27para_result.txt
CHKH    69.354  233.314     .148E-03   87.95  109.91   21.97   2.57   9.11   1.312   .562   .355E-04  -.921E-04   2.70   2.06  Meq28para_result.txt
ESLB    61.217  307.872     .213E-03   79.39  113.73   34.34   2.29   4.97   1.040  -.009   .209E-04   .765E-03   2.51   2.42  Meq28para_result.txt
DPDB   118.379  301.798     .909E-04   98.00  156.21   58.20   2.24   9.79   1.008   .250   .223E-04  -.556E-04   3.10   3.07  Meq28para_result.txt
FULB    70.450  244.595     .285E-03   81.06  119.32   38.26   1.26   1.07   1.111  1.655   .222E-04   .212E-02   2.82   2.54  Meq28para_result.txt
NACB    84.190  337.196     .747E-04   92.67  111.70   19.03   1.71   4.15   1.314  1.436   .167E-04   .104E-03   2.61   1.98  Meq28para_result.txt
HGSD    50.285  272.507     .941E-02   78.60  113.28   34.68   2.05   4.55   1.613  2.594   .547E-03   .359E-01   3.85   2.39  Meq28para_result.txt
YULB    63.836  262.089     .187E-03   83.07  124.96   41.89   2.99  10.81    .929   .850   .588E-05   .732E-03   2.41   2.60  Meq28para_result.txt
NNSB   118.866  332.956     .729E-04  101.60  123.03   21.43   2.46  10.42   1.323  -.459   .102E-04   .123E-03   2.92   2.21  Meq28para_result.txt
CHKH    67.302  197.732     .339E-03   58.09   95.16   37.07   3.76  18.50   1.132   .443   .302E-04   .584E-03   2.83   2.50  Meq29para_result.txt
ESLB    20.054  318.103     .102E-02   55.40   83.06   27.66   2.32   6.28   1.471 -1.134   .460E-04   .293E-02   3.07   2.08  Meq29para_result.txt
TWMB   150.377  231.200     .206E-03   90.57  151.71   61.14   1.05   1.57   1.180  1.974   .683E-04   .308E-03   3.81   3.23  Meq29para_result.txt
ELDB    77.921  225.999     .648E-03   61.10   85.52   24.42   1.81   2.93   1.468   .484   .763E-04   .218E-02   3.20   2.18  Meq29para_result.txt
DPDB    76.744  301.064     .267E-03   60.75  104.56   43.81   1.58   3.34   1.097   .523   .178E-04   .137E-02   2.94   2.68  Meq29para_result.txt
ENLB    25.267    6.708     .300E-02   61.84   97.27   35.43   2.91  10.08   1.492  1.735   .163E-03   .102E-01   3.46   2.32  Meq29para_result.txt
FULB    60.121  208.346     .985E-03   58.78   93.47   34.69   1.76   3.07   1.287  1.753   .770E-04   .410E-02   3.12   2.42  Meq29para_result.txt
NACB    55.037    2.295     .136E-03   58.09   83.19   25.09   1.25    .79   1.115  1.504   .253E-04   .448E-03   2.37   2.12  Meq29para_result.txt
SSLB    64.252  281.098     .164E-03   60.97   85.45   24.48    .64    .80   1.165   .338   .623E-04   .470E-04   2.48   2.13  Meq29para_result.txt
CHGB    58.727  316.323     .113E-02   58.82   77.43   18.61   1.50   2.33   1.730  2.427   .228E-03   .132E-02   3.24   1.88  Meq29para_result.txt
HGSD    25.499  216.650     .139E-01   55.40   98.49   43.08   1.63   1.84   1.635  2.783   .449E-03   .930E-01   4.07   2.49  Meq29para_result.txt
YULB    42.251  221.846     .250E-03   55.72  104.38   48.65   1.86   3.06    .980  -.543   .924E-05   .170E-02   2.60   2.65  Meq29para_result.txt
MASB   152.173  219.410     .735E-04   71.03  133.40   62.37   2.09   5.01    .993  2.063   .119E-04   .240E-03   3.23   3.25  Meq29para_result.txt
NNSB    85.405  346.954     .135E-03   61.39   97.33   35.94   1.71   4.28   1.087  -.231   .798E-05   .702E-03   2.76   2.54  Meq29para_result.txt
ESLB    58.937  212.331     .898E-04   55.84  120.41   64.57   2.00   4.16    .768  -.065   .105E-04   .658E-03   2.27   2.96  Meq30para_result.txt
NACB    18.631  238.427     .284E-03   57.55   80.81   23.26   2.80   7.50    .905  1.529   .243E-04   .448E-03   1.75   1.93  Meq30para_result.txt
HGSD    91.495  201.406     .813E-03   63.04  106.79   43.75   1.33   2.19   1.254  2.570   .131E-03   .554E-02   3.43   2.73  Meq30para_result.txt
NNSB    41.645  296.345     .182E-03   60.99   79.99   18.99   3.02   9.87   1.226  -.422   .187E-04   .166E-03   2.25   1.83  Meq30para_result.txt
ALSB   101.399  247.946     .917E-03   73.23   96.97   23.73    .71    .77   1.569  2.661   .221E-03   .354E-02   3.51   2.24  Meq31para_result.txt
CHKH    91.575  203.819     .393E-03   62.56  102.47   39.91   2.06   4.01   1.168   .820   .236E-04   .166E-02   3.10   2.65  Meq31para_result.txt
SGSB   144.844  233.929     .335E-03   79.92   99.34   19.41    .92   1.09   1.563   .939   .117E-03   .343E-03   3.46   2.21  Meq31para_result.txt
ESLB    30.165  260.938     .143E-02   54.97   83.37   28.40   1.78   2.83   1.647  -.842   .125E-03   .570E-02   3.53   2.14  Meq31para_result.txt
WGKB   120.042  261.188     .120E-02   72.87  108.72   35.85   1.52   2.91   1.446   .210   .157E-03   .422E-02   3.85   2.66  Meq31para_result.txt
TWHB   133.082  191.125     .287E-03   78.95   98.85   19.90    .94   1.25   1.558  1.914   .587E-04   .917E-03   3.42   2.19  Meq31para_result.txt
TWMB   175.577  229.603     .204E-03   87.73  130.87   43.14   1.17   1.60   1.318  2.547   .679E-04   .578E-04   3.97   3.01  Meq31para_result.txt
ELDB   103.442  224.517     .694E-03   70.32   99.02   28.70   1.33   1.34   1.408   .819   .197E-03  -.452E-03   3.39   2.41  Meq31para_result.txt
ECLB   160.175  209.699     .159E-03   86.98  105.13   18.15    .94    .69   1.430   .375   .275E-04   .502E-03   3.16   2.21  Meq31para_result.txt
