     FRE.     REAL.    IMAG.    AMP.
    8.5449 0.34471073E-02 0.12883360E-02 0.36799943E-02
    8.5938 -.10670102E-02 -.68255904E-03 0.12666482E-02
    8.6426 -.45485259E-03 -.58989669E-02 0.59164772E-02
    8.6914 0.41759759E-02 -.55581601E-02 0.69521163E-02
    8.7402 0.60595032E-02 0.14026810E-01 0.15279692E-01
    8.7891 -.20147783E-02 0.52262265E-02 0.56011407E-02
    8.8379 0.61330227E-02 -.49453141E-03 0.61529283E-02
    8.8867 -.75677531E-02 0.74809194E-02 0.10641196E-01
    8.9355 -.24952239E-03 0.33225287E-02 0.33318850E-02
    8.9844 -.67859897E-02 0.21739637E-02 0.71257125E-02
    9.0332 -.15133154E-01 0.22437372E-02 0.15298584E-01
    9.0820 -.59375963E-02 -.14663012E-01 0.15819576E-01
    9.1309 0.67437892E-02 -.29544259E-03 0.67502577E-02
    9.1797 0.20033590E-03 -.22921083E-02 0.23008466E-02
    9.2285 0.35746479E-02 -.11271946E-02 0.37481564E-02
    9.2773 0.57259580E-03 -.69760642E-03 0.90250798E-03
    9.3262 0.60899951E-02 0.19066036E-04 0.60900250E-02
    9.3750 -.16143258E-02 0.10697661E-01 0.10818779E-01
    9.4238 -.60689286E-02 -.32527978E-02 0.68856799E-02
    9.4727 0.67185666E-02 -.64138789E-02 0.92885401E-02
    9.5215 0.78074061E-02 0.47338740E-02 0.91304518E-02
    9.5703 -.66540595E-02 0.89718867E-02 0.11170106E-01
    9.6191 0.15496553E-02 -.50837739E-03 0.16309136E-02
    9.6680 -.33127062E-02 -.25982325E-03 0.33228798E-02
    9.7168 0.20571733E-02 -.88628360E-04 0.20590816E-02
    9.7656 -.12227854E-01 0.52063460E-02 0.13290089E-01
    9.8145 -.29770453E-02 -.15475865E-01 0.15759606E-01
    9.8633 -.31779814E-02 0.67657554E-02 0.74749589E-02
    9.9121 0.81634871E-03 -.10014269E-01 0.10047487E-01
    9.9609 -.16278480E-02 -.23102390E-02 0.28261447E-02
   10.0098 0.12817303E-01 -.13115456E-01 0.18338442E-01
   10.0586 0.25470657E-01 0.96622109E-02 0.27241746E-01
   10.1074 -.71157697E-02 0.12763816E-01 0.14613322E-01
   10.1563 -.69952733E-02 0.68124612E-02 0.97643984E-02
   10.2051 0.10639663E-03 -.73137594E-03 0.73907443E-03
   10.2539 -.10655419E-01 0.51914724E-02 0.11852819E-01
   10.3027 0.76988610E-02 -.30744656E-02 0.82900422E-02
   10.3516 -.44005816E-02 0.68302616E-02 0.81251208E-02
   10.4004 0.15808622E-02 0.61931525E-03 0.16978447E-02
   10.4492 -.10014041E-01 0.87378193E-02 0.13290241E-01
   10.4980 -.77145542E-02 -.19326452E-01 0.20809280E-01
   10.5469 0.72684982E-02 -.35549940E-02 0.80912942E-02
   10.5957 -.22524984E-02 0.46453062E-02 0.51626172E-02
   10.6445 -.75368728E-02 -.14620394E-01 0.16448719E-01
   10.6934 0.23084931E-01 -.65536993E-02 0.23997188E-01
   10.7422 0.15889133E-02 0.10018230E-01 0.10143450E-01
   10.7910 -.25237298E-02 -.14839665E-02 0.29276900E-02
   10.8398 0.67239567E-02 -.71685662E-03 0.67620617E-02
   10.8887 0.84596546E-02 0.11158978E-01 0.14003161E-01
   10.9375 -.14713243E-01 0.58309752E-02 0.15826553E-01
   10.9863 0.29231904E-02 -.16756250E-02 0.33693858E-02
   11.0352 -.11392132E-02 -.41013183E-02 0.42565973E-02
   11.0840 -.11934129E-03 0.52057491E-02 0.52071167E-02
   11.1328 -.81253573E-02 0.14662857E-02 0.82565993E-02
   11.1816 0.51598209E-02 -.84608803E-02 0.99101085E-02
   11.2305 0.14062968E-03 0.10750791E-01 0.10751711E-01
   11.2793 -.69164298E-02 -.40169554E-02 0.79983082E-02
   11.3281 0.37097225E-02 -.92763389E-02 0.99906204E-02
   11.3770 0.36056004E-02 0.33658557E-02 0.49324781E-02
   11.4258 -.19320322E-02 -.21683748E-02 0.29042379E-02
   11.4746 -.13908694E-02 -.29550528E-02 0.32660151E-02
   11.5234 -.19946396E-02 -.57061734E-02 0.60447501E-02
   11.5723 0.10080905E-01 0.67040790E-02 0.12106582E-01
   11.6211 -.54718326E-02 0.55170624E-03 0.54995758E-02
   11.6699 0.34126239E-02 -.21733076E-03 0.34195371E-02
   11.7188 -.14636278E-02 -.24854622E-02 0.28843940E-02
   11.7676 0.45573156E-03 -.43961843E-02 0.44197431E-02
   11.8164 -.19100257E-03 0.10513853E-01 0.10515588E-01
   11.8652 -.10192348E-01 -.13119779E-02 0.10276441E-01
   11.9141 -.12705791E-02 -.13826896E-01 0.13885152E-01
   11.9629 0.82662264E-02 -.51864716E-02 0.97585851E-02
   12.0117 -.20084337E-02 -.50815102E-03 0.20717198E-02
   12.0605 -.31069078E-03 -.72335815E-02 0.72402507E-02
   12.1094 0.14605339E-01 -.21154620E-02 0.14757747E-01
   12.1582 0.31152042E-02 0.94697969E-02 0.99690296E-02
   12.2070 -.98246580E-03 0.82225660E-02 0.82810521E-02
   12.2559 -.15208302E-02 0.28723080E-02 0.32500890E-02
   12.3047 -.31605863E-02 0.15278113E-02 0.35104861E-02
   12.3535 -.28398535E-02 0.64604068E-02 0.70570265E-02
   12.4023 -.98290155E-02 -.14628175E-02 0.99372724E-02
   12.4512 0.40289134E-03 0.12675077E-02 0.13299990E-02
   12.5000 -.85221110E-02 0.87561281E-02 0.12218680E-01
   12.5488 -.13573930E-01 -.84889987E-02 0.16009830E-01
   12.5977 0.59638461E-02 -.12230106E-01 0.13606724E-01
   12.6465 0.70410315E-02 -.42091436E-02 0.82032317E-02
   12.6953 -.51579722E-02 0.59886365E-02 0.79036979E-02
   12.7441 -.59504053E-02 -.11685555E-01 0.13113334E-01
   12.7930 0.13725621E-01 -.77130096E-02 0.15744306E-01
   12.8418 0.73237261E-02 -.44990964E-02 0.85952794E-02
   12.8906 0.12121513E-01 0.19818456E-02 0.12282459E-01
   12.9395 0.17902253E-02 0.15930643E-01 0.16030917E-01
   12.9883 -.27506815E-02 -.36595977E-03 0.27749189E-02
   13.0371 0.39408598E-02 0.26443377E-02 0.47458294E-02
   13.0859 0.60137464E-02 0.12933676E-01 0.14263419E-01
   13.1348 -.64885644E-02 0.71208668E-02 0.96337022E-02
   13.1836 -.96004084E-02 0.12355076E-01 0.15646590E-01
   13.2324 -.16720250E-01 -.87812758E-03 0.16743293E-01
   13.2813 -.68194349E-02 -.85321423E-02 0.10922552E-01
   13.3301 -.11100668E-01 -.95860325E-02 0.14666862E-01
   13.3789 0.29218360E-02 -.12351574E-01 0.12692459E-01
   13.4277 0.58809556E-02 -.60974322E-02 0.84713828E-02
   13.4766 0.36530208E-02 -.52982154E-02 0.64354991E-02
   13.5254 0.39852560E-02 -.73165908E-02 0.83315521E-02
   13.5742 0.16480679E-01 -.26563955E-02 0.16693389E-01
   13.6230 0.11125852E-01 0.78223636E-02 0.13600513E-01
   13.6719 0.13667980E-02 0.13693603E-01 0.13761646E-01
   13.7207 -.63860663E-02 0.90185627E-02 0.11050625E-01
   13.7695 -.83749657E-02 0.54414575E-02 0.99874679E-02
   13.8184 -.56122430E-02 -.45334636E-02 0.72145383E-02
   13.8672 -.92273945E-03 -.11936598E-02 0.15087319E-02
   13.9160 -.29180464E-02 -.52129719E-02 0.59741167E-02
   13.9648 0.32201170E-02 0.20739776E-02 0.38302136E-02
   14.0137 -.50430838E-02 0.13546300E-02 0.52218498E-02
   14.0625 -.22221066E-02 -.85740834E-02 0.88573508E-02
   14.1113 0.52499855E-02 -.84249070E-02 0.99268025E-02
   14.1602 0.10021436E-01 0.18792655E-03 0.10023198E-01
   14.2090 0.32616772E-02 0.93751941E-02 0.99263694E-02
   14.2578 -.96500637E-02 0.11924018E-01 0.15339685E-01
   14.3066 -.11114357E-01 -.69626607E-02 0.13115166E-01
   14.3555 0.84184045E-02 -.54135667E-02 0.10008808E-01
   14.4043 0.27615174E-02 0.31133352E-02 0.41615902E-02
   14.4531 -.15914278E-02 0.82672760E-02 0.84190555E-02
   14.5020 -.81279343E-02 -.59887134E-02 0.10095940E-01
   14.5508 0.68418286E-02 -.94208624E-02 0.11643164E-01
   14.5996 0.94243716E-02 0.13903865E-02 0.95263822E-02
   14.6484 -.65009517E-03 0.58185724E-02 0.58547766E-02
   14.6973 -.67943940E-02 -.23177059E-02 0.71788267E-02
   14.7461 0.24674984E-02 -.91655683E-02 0.94919009E-02
   14.7949 0.90864468E-02 0.10127728E-02 0.91427146E-02
   14.8438 0.16589707E-02 -.16766337E-03 0.16674217E-02
   14.8926 0.68359203E-02 -.84039220E-03 0.68873847E-02
   14.9414 0.29477521E-02 0.11538235E-01 0.11908825E-01
