     FRE.     REAL.    IMAG.    AMP.
   25.6000 -.51798503E-03 0.48684009E-03 0.71085989E-03
   25.6977 -.64675102E-03 0.41548320E-03 0.76870876E-03
   25.7954 0.21411633E-03 0.44673972E-04 0.21872715E-03
   25.8931 0.33335670E-03 0.32215990E-03 0.46358784E-03
   25.9908 -.36094413E-03 -.11822466E-02 0.12361180E-02
   26.0886 0.19764304E-02 -.15528260E-02 0.25134729E-02
   26.1863 -.14617841E-02 -.67119935E-03 0.16085153E-02
   26.2840 0.50245846E-04 -.20082857E-03 0.20701873E-03
   26.3817 0.41158422E-03 -.16692530E-03 0.44414596E-03
   26.4794 0.19417838E-03 0.17237943E-03 0.25965343E-03
   26.5771 0.12825680E-03 -.22749433E-03 0.26115795E-03
   26.6748 -.32649207E-03 -.14750051E-03 0.35826451E-03
   26.7725 -.18498935E-03 -.12220192E-03 0.22170784E-03
   26.8702 0.24983173E-03 -.26378655E-03 0.36331700E-03
   26.9679 0.45008761E-04 -.38443104E-04 0.59191731E-04
   27.0656 0.28210811E-03 -.83648156E-04 0.29424820E-03
   27.1634 0.98884047E-04 0.24168233E-03 0.26112908E-03
   27.2611 0.16009606E-04 -.27643068E-03 0.27689390E-03
   27.3588 -.53407450E-03 0.35760872E-03 0.64274378E-03
   27.4565 0.15386897E-03 -.10442564E-03 0.18595799E-03
   27.5542 -.27561726E-03 0.17213593E-03 0.32495486E-03
   27.6519 0.89678069E-04 -.47731108E-04 0.10158944E-03
   27.7496 0.27437831E-03 0.65516128E-04 0.28209187E-03
   27.8473 0.64143842E-05 0.94096504E-04 0.94314877E-04
   27.9450 -.76281976E-04 0.14642392E-03 0.16510271E-03
   28.0427 -.99123215E-04 -.36735786E-04 0.10571154E-03
   28.1405 0.41430400E-03 -.30289215E-03 0.51321677E-03
   28.2382 0.82695996E-03 0.99356612E-03 0.12926857E-02
   28.3359 -.55320049E-02 0.95293351E-03 0.56134802E-02
   28.4336 -.19957813E-04 0.23114256E-03 0.23200258E-03
   28.5313 0.19415544E-03 0.79451501E-03 0.81789389E-03
   28.6290 -.36920619E-03 0.10284883E-04 0.36934941E-03
   28.7267 -.81622682E-03 -.55322016E-04 0.81809948E-03
   28.8244 -.67104923E-03 -.46278851E-03 0.81515661E-03
   28.9221 -.22088176E-03 0.19675080E-03 0.29580336E-03
   29.0198 0.66987035E-03 -.68617059E-03 0.95893501E-03
   29.1176 0.72190235E-03 0.65753318E-03 0.97646960E-03
   29.2153 0.14516276E-03 0.60366288E-04 0.15721424E-03
   29.3130 0.37882454E-03 0.90363610E-03 0.97982970E-03
   29.4107 -.75148673E-04 0.32150673E-03 0.33017254E-03
   29.5084 0.56023529E-03 0.21839434E-03 0.60129829E-03
   29.6061 0.11349925E-03 0.59663231E-03 0.60733204E-03
   29.7038 0.31932327E-03 -.50648890E-03 0.59874734E-03
   29.8015 -.12293597E-04 0.36624880E-03 0.36645506E-03
   29.8992 0.14706889E-03 -.15728764E-03 0.21533383E-03
   29.9969 -.30923539E-03 -.24474380E-03 0.39436790E-03
   30.0947 0.31037038E-03 0.48562077E-04 0.31414654E-03
   30.1924 0.12243571E-03 -.12379975E-03 0.17411743E-03
   30.2901 -.14447494E-03 -.13726711E-04 0.14512557E-03
   30.3878 0.43540203E-03 -.13883850E-03 0.45700226E-03
   30.4855 0.24449616E-03 -.22566890E-03 0.33272334E-03
   30.5832 -.25430438E-03 -.38635079E-03 0.46253394E-03
   30.6809 0.78343000E-05 -.82187951E-04 0.82560495E-04
   30.7786 0.28884811E-04 -.28980739E-03 0.29124328E-03
   30.8763 -.14048854E-04 -.38098035E-03 0.38123928E-03
   30.9740 -.19469825E-03 -.48419199E-04 0.20062858E-03
   31.0718 -.27308113E-04 -.25347609E-03 0.25494286E-03
   31.1695 -.62999425E-04 -.26779194E-03 0.27510262E-03
   31.2672 -.31500065E-03 0.10483959E-03 0.33198908E-03
   31.3649 -.35639119E-03 -.13641427E-03 0.38160651E-03
   31.4626 -.36966742E-03 -.24841138E-03 0.44537874E-03
   31.5603 -.56038793E-04 -.37780912E-04 0.67585082E-04
   31.6580 -.19336435E-03 0.36330632E-04 0.19674777E-03
